customer_id,first_name,last_name,country,age,gender,income_level,Winning_percentage,Days_Since_Last_Bet,Active_Days,Total_Number_of_Bets,Total_Amount_Wagered,Average_Bet_Amount,Number_of_Bonuses_Received,Amount_of_Bonuses_Received,Revenue_from_Bonuses,Increase_in_Bets_After_Bonus,Increase_in_wagering_after_Bonus,Should_Receive_Bonus,column_with_outliers
9936,Misty,Brown,Luxembourg,37.0,Male,24678.0,54.0,9.0,293.0,37.0,95151.0,998.0,100.0,1000.0,5000.0,500.0,50000.0,0.0,95151.0
4237,Cynthia,Ford,South Georgia and the South Sandwich Islands,26.0,Male,121168.0,38.0,14.0,300.0,42.0,94933.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,94933.0
5609,Cynthia,Munoz,Nicaragua,74.0,Male,60929.0,33.0,7.0,148.0,28.0,89927.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,0.0,89927.0
2456,Angela,Anderson,Saint Martin,62.0,Male,32434.0,16.0,35.0,336.0,31.0,94270.0,997.0,100.0,1000.0,5000.0,500.0,50000.0,0.0,94270.0
8815,Jason,Myers,American Samoa,32.0,Female,68083.0,16.0,19.0,141.0,39.0,98939.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,0.0,98939.0
7534,Rachel,Harris,Congo,47.0,Male,137757.0,29.0,16.0,256.0,48.0,88466.0,987.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,88466.0
6052,Rhonda,Hensley,Christmas Island,29.0,Female,82996.0,70.0,11.0,343.0,31.0,95442.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,95442.0
2394,Cassidy,Gomez,San Marino,32.0,Male,23823.0,32.0,20.0,329.0,41.0,97800.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,97800.0
7528,Jody,Edwards,Western Sahara,36.0,Male,143130.0,24.0,8.0,235.0,39.0,93816.0,998.0,100.0,1000.0,5000.0,500.0,50000.0,0.0,93816.0
5285,Ashley,Jones,Congo,80.0,Female,81637.0,19.0,26.0,314.0,43.0,95505.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,95505.0
4727,Andrew,Peterson,India,26.0,Male,128296.0,61.0,10.0,97.0,20.0,78771.0,975.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,78771.0
7135,Robin,Eaton,Montenegro,64.0,Male,26989.0,22.0,18.0,199.0,47.0,89555.0,988.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,89555.0
7080,Lacey,Nichols,Portugal,49.0,Female,46011.0,31.0,6.0,249.0,35.0,92917.0,1000.0,100.0,1000.0,5000.0,500.0,50000.0,0.0,92917.0
7859,Dennis,Freeman,Lithuania,52.0,Male,22975.0,68.0,7.0,285.0,35.0,93762.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0.0,93762.0
3836,Seth,Lin,Croatia,58.0,Male,26679.0,78.0,26.0,300.0,45.0,92805.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,92805.0
5261,George,Torres,Montserrat,49.0,Female,49662.0,8.0,18.0,228.0,49.0,86589.0,983.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,86589.0
8834,Benjamin,Marshall,China,53.0,Female,71015.0,20.0,23.0,307.0,45.0,93695.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,93695.0
4528,Michael,Gilbert,Malawi,21.0,Male,26630.0,38.0,1.0,358.0,10.0,75221.0,975.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,75221.0
4659,Anthony,Johnson,Equatorial Guinea,71.0,Female,102965.0,40.0,3.0,271.0,28.0,86152.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,86152.0
3939,David,Little,Sweden,60.0,Male,25984.0,33.0,11.0,278.0,42.0,94157.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,0.0,94157.0
7191,Cynthia,Newman,Puerto Rico,74.0,Male,139680.0,79.0,28.0,358.0,33.0,98786.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,98786.0
5490,Jonathan,Meyer,Burundi,80.0,Male,97381.0,22.0,33.0,184.0,41.0,95119.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,0.0,95119.0
4714,Julie,Cline,Monaco,25.0,Male,55386.0,23.0,31.0,148.0,37.0,97904.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,0.0,97904.0
1345,Brian,Jackson,Comoros,43.0,Female,124803.0,40.0,13.0,242.0,46.0,90757.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,90757.0
7250,Theresa,Oliver,Netherlands Antilles,25.0,Female,97040.0,26.0,23.0,228.0,50.0,85307.0,980.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,85307.0
4237,Cynthia,Ford,South Georgia and the South Sandwich Islands,26.0,Male,121168.0,12.0,12.0,322.0,37.0,97165.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,0.0,97165.0
7681,Brandon,Welch,Pitcairn Islands,77.0,Female,41032.0,27.0,10.0,365.0,25.0,87404.0,988.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,87404.0
7964,Beverly,Glover,Egypt,46.0,Female,32775.0,32.0,28.0,314.0,42.0,96024.0,993.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,96024.0
2256,Bonnie,Stein,Fiji,51.0,Female,45034.0,45.0,2.0,249.0,27.0,83631.0,989.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,83631.0
3678,Kevin,Wilson,Dominica,58.0,Male,21215.0,63.0,3.0,220.0,29.0,86885.0,995.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,86885.0
8890,Edward,Martin,Germany,75.0,Male,58008.0,8.0,38.0,249.0,37.0,93291.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0.0,93291.0
7500,William,Harris,Cape Verde,74.0,Female,31463.0,63.0,25.0,307.0,45.0,93921.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,93921.0
9730,Ashley,Tran,Finland,46.0,Male,69494.0,8.0,31.0,285.0,44.0,93253.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,93253.0
9281,Darren,Jackson,Netherlands Antilles,60.0,Female,96639.0,56.0,38.0,90.0,13.0,75221.0,975.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,75221.0
9429,Melissa,Lee,Czech Republic,49.0,Male,27650.0,14.0,11.0,162.0,37.0,96603.0,996.0,100.0,1000.0,5000.0,500.0,50000.0,0.0,96603.0
1905,Anna,Summers,Thailand,43.0,Male,129735.0,17.0,17.0,141.0,38.0,98899.0,991.0,100.0,1000.0,5000.0,500.0,50000.0,0.0,98899.0
4052,Alice,Reed,Nepal,24.0,Male,59738.0,45.0,7.0,285.0,35.0,93762.0,999.0,100.0,1000.0,5000.0,500.0,50000.0,0.0,93762.0
3354,Barry,Jennings,Lithuania,74.0,Female,63006.0,30.0,15.0,220.0,47.0,89423.0,989.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,89423.0
7135,Robin,Eaton,Montenegro,64.0,Male,26989.0,57.0,27.0,90.0,25.0,91268.0,989.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,91268.0
4762,Tammie,Brewer,Bangladesh,72.0,Male,103933.0,28.0,23.0,162.0,44.0,95339.0,992.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,95339.0
9707,Ryan,Ford,Thailand,27.0,Female,42390.0,57.0,36.0,90.0,16.0,75221.0,975.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,75221.0
3055,Julia,Greene,Belarus,59.0,Male,60455.0,54.0,10.0,322.0,35.0,95986.0,997.0,100.0,1000.0,5000.0,500.0,50000.0,0.0,95986.0
8410,Richard,Mitchell,Denmark,21.0,Female,90093.0,62.0,30.0,170.0,42.0,95743.0,994.0,100.0,1000.0,5000.0,500.0,50000.0,1.0,95743.0
3688,Isaac,Rodriguez,Norway,42.0,Male,124567.0,27.0,9.0,213.0,40.0,94123.0,997.0,100.0,1000.0,5000.0,500.0,50000.0,0.0,94123.0
6292,James,Yates,Cayman Islands,51.0,Female,44422.0,15.0,8.0,322.0,32.0,93406.0,998.0,100.0,1000.0,5000.0,500.0,50000.0,0.0,93406.0
4398,Jose,Mason,Bulgaria,21.0,Female,80451.0,63.0,5.0,256.0,33.0,91595.0,1000.0,100.0,1000.0,5000.0,500.0,50000.0,0.0,91595.0
3346,Courtney,Morgan,Bangladesh,49.0,Male,29630.0,8.0,8.0,199.0,37.0,94434.0,998.0,100.0,1000.0,5000.0,500.0,50000.0,0.0,94434.0
